QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE
0.0,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.47000362924573563,0.6931471805599453
0.47000362924573563,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.4054651081081644
0.0,0.0
0.0,0.6931471805599453
0.0,0.0
0.0,0.4054651081081644
0.6931471805599453,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.0,0.5596157879354227
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.47000362924573563,0.6931471805599453
0.0,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.0,0.5596157879354227
0.0,0.6931471805599453
0.0,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.5596157879354227
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.6931471805599453,0.6931471805599453
0.0,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.6931471805599453
0.6931471805599453,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.5596157879354227
0.6931471805599453,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.6931471805599453
0.47000362924573563,0.0
0.3364722366212129,0.0
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.0,0.5596157879354227
0.0,0.0
0.0,0.6931471805599453
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.5596157879354227
0.3364722366212129,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.0
0.0,0.5596157879354227
0.0,0.4054651081081644
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.6931471805599453
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.6931471805599453
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.6931471805599453
0.47000362924573563,0.0
0.0,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.0
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.6931471805599453,0.6931471805599453
0.0,0.5596157879354227
0.0,0.0
0.0,0.4054651081081644
0.0,0.5596157879354227
0.0,0.5596157879354227
0.3364722366212129,0.0
0.0,0.6931471805599453
0.0,0.0
0.0,0.0
0.0,0.6931471805599453
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.6931471805599453
0.0,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.5596157879354227
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.0
0.6931471805599453,0.0
0.47000362924573563,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.0,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.47000362924573563,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.6931471805599453,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.0,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.0,0.6931471805599453
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.0,0.5596157879354227
0.0,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.5596157879354227
0.0,0.4054651081081644
0.47000362924573563,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.6931471805599453,0.0
0.3364722366212129,0.0
0.0,0.6931471805599453
0.47000362924573563,0.0
0.6931471805599453,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.0,0.6931471805599453
0.47000362924573563,0.6931471805599453
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.0,0.0
0.6931471805599453,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.0,0.5596157879354227
0.0,0.6931471805599453
0.47000362924573563,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.6931471805599453,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.6931471805599453
0.0,0.5596157879354227
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.5596157879354227
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.6931471805599453
0.0,0.5596157879354227
0.3364722366212129,0.0
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.5596157879354227
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.5596157879354227
0.47000362924573563,0.6931471805599453
0.47000362924573563,0.0
0.0,0.6931471805599453
0.0,0.5596157879354227
0.47000362924573563,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.0,0.6931471805599453
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.0
0.0,0.0
0.0,0.5596157879354227
0.47000362924573563,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.0
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.0
0.0,0.5596157879354227
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.5596157879354227
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.6931471805599453
0.0,0.6931471805599453
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.47000362924573563,0.0
0.47000362924573563,0.0
0.3364722366212129,0.5596157879354227
0.0,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.6931471805599453
0.0,0.0
0.0,0.5596157879354227
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.6931471805599453
0.47000362924573563,0.0
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.0
0.0,0.4054651081081644
0.6931471805599453,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.4054651081081644
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6931471805599453,0.0
0.0,0.6931471805599453
0.0,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.6931471805599453
0.0,0.6931471805599453
0.0,0.6931471805599453
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.5596157879354227
0.0,0.0
0.0,0.0
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.5596157879354227
0.0,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.6931471805599453,0.6931471805599453
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.4054651081081644
0.6931471805599453,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.0
0.0,0.0
0.47000362924573563,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.0
0.0,0.6931471805599453
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.0
0.0,0.5596157879354227
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.6931471805599453
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.0
0.47000362924573563,0.6931471805599453
0.0,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.0
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.6931471805599453,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.0,0.0
0.0,0.6931471805599453
0.0,0.4054651081081644
0.0,0.0
0.3364722366212129,0.0
0.0,0.0
0.0,0.5596157879354227
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.6931471805599453,0.6931471805599453
0.47000362924573563,0.4054651081081644
0.0,0.0
0.0,0.0
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.5596157879354227
0.47000362924573563,0.4054651081081644
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.47000362924573563,0.6931471805599453
0.0,0.6931471805599453
0.3364722366212129,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6931471805599453,0.0
0.0,0.0
0.47000362924573563,0.4054651081081644
0.0,0.6931471805599453
0.0,0.6931471805599453
0.0,0.0
0.0,0.0
0.47000362924573563,0.0
0.0,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.4054651081081644
0.3364722366212129,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.0
0.3364722366212129,0.0
0.47000362924573563,0.0
0.3364722366212129,0.0
0.47000362924573563,0.4054651081081644
0.3364722366212129,0.0
0.0,0.0
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.0
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.0
0.47000362924573563,0.0
0.0,0.4054651081081644
0.0,0.5596157879354227
0.3364722366212129,0.5596157879354227
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.0
0.0,0.6931471805599453
0.0,0.0
0.3364722366212129,0.0
0.6931471805599453,0.6931471805599453
0.3364722366212129,0.4054651081081644
0.0,0.0
0.0,0.4054651081081644
0.3364722366212129,0.0
0.3364722366212129,0.4054651081081644
0.0,0.4054651081081644
0.0,0.6931471805599453
